task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	00/bbbab3	3696754	QUERY_DB:PARSE_GBK (SAMN04875292)	COMPLETED	0	2025-09-18 20:52:39.511	2.4s	703ms	595.7%	15.6 MB	32.9 MB	14 MB	4.3 MB
2	ab/b17393	3696792	QUERY_DB:PARSE_GBK (SAMN04875286)	COMPLETED	0	2025-09-18 20:52:39.567	2.4s	776ms	428.1%	15.6 MB	32.9 MB	14 MB	4.3 MB
10	ea/3f11ee	3697786	QUERY_DB:QUERY_DB_V1:INTEGRONFINDER (SAMN04875292)	COMPLETED	0	2025-09-18 20:52:41.984	23.2s	20s	142.8%	165.7 MB	5.7 GB	96.2 MB	5.5 MB
1	49/edb19e	3696768	QUERY_DB:QUERY_DB_V1:AMRFINDERPLUS_UPDATE (update)	COMPLETED	0	2025-09-18 20:52:39.550	30.4s	28s	62.6%	26.6 MB	175.2 MB	569.8 MB	497.2 MB
5	18/813950	3696781	QUERY_DB:QUERY_DB_V1:PHISPY (SAMN04875292)	COMPLETED	0	2025-09-18 20:52:39.560	1m 38s	1m 36s	204.7%	572.2 MB	6.2 GB	62.8 MB	6.1 MB
3	29/a37430	3696760	QUERY_DB:QUERY_DB_V1:PHISPY (SAMN04875286)	COMPLETED	0	2025-09-18 20:52:39.542	1m 40s	1m 37s	207.8%	577.9 MB	6.2 GB	62.7 MB	6.1 MB
6	5b/4b0468	3697767	QUERY_DB:QUERY_DB_V1:TNCOMP_FINDER (SAMN04875292)	COMPLETED	0	2025-09-18 20:52:41.966	7m 21s	7m 19s	100.5%	201.7 MB	10.7 GB	18.3 MB	28.5 KB
8	fa/5ec371	3697761	QUERY_DB:QUERY_DB_V1:TN3_FINDER (SAMN04875292)	COMPLETED	0	2025-09-18 20:52:41.955	23m 29s	23m 27s	100.3%	410.1 MB	10.9 GB	58.8 MB	2.8 MB
