task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
25	46/28fd63	2625829	QUERY_DB_V1:INTEGRONFINDER (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:08.444	24.5s	6s	103.7%	119.4 MB	5.5 GB	34.7 MB	31 KB
27	ef/64ea18	2625874	MAKE_DB_V1:MOBSUITE_RECON (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.546	24.9s	5s	106.8%	149.2 MB	5.5 GB	36.2 MB	365 B
28	ed/8156fa	2625848	MAKE_DB_V1:INTEGRONFINDER (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:08.485	25s	6s	101.4%	122.6 MB	5.5 GB	34.7 MB	31 KB
37	94/c67813	2627432	MAKE_DB_V1:INTEGRONFINDER (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:10.636	23s	6s	104.1%	119.7 MB	5.5 GB	34.7 MB	31 KB
40	5e/bfb62a	2628094	MAKE_DB_V1:INTEGRONFINDER (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:12.467	21.4s	6s	98.6%	116.7 MB	5.5 GB	34.7 MB	31 KB
42	4d/2e0cda	2631224	MAKE_DB_V1:TNCOMP_FINDER (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:21.424	13s	56ms	31.1%	0	0	146.4 KB	216 B
35	7f/9c236d	2631060	MAKE_DB_V1:TNCOMP_FINDER (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:21.178	13.6s	61ms	48.1%	0	0	148.5 KB	216 B
38	0c/5e6732	2633336	MAKE_DB_V1:AMRFINDERPLUS_RUN (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:24.048	10.8s	0ms	87.0%	2.8 MB	4.3 MB	95.9 KB	479 B
45	b4/2d7c34	2635367	MAKE_DB_V1:DIAMOND_BLASTP (SAMN04875293)	COMPLETED	0	2025-09-22 14:33:26.368	9.2s	0ms	104.7%	2.8 MB	5.4 MB	77 KB	368 B
47	66/f863f9	2636567	MAKE_DB_V1:DIAMOND_BLASTP (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:27.350	8.3s	0ms	106.4%	2.8 MB	5.4 MB	77 KB	368 B
50	df/317d5f	2644803	MAKE_DB_V1:FILTER_DIAMOND_HITS (2)	COMPLETED	0	2025-09-22 14:33:35.772	550ms	23ms	57.3%	0	0	129.1 KB	216 B
49	43/84caa2	2644782	MAKE_DB_V1:FILTER_DIAMOND_HITS (1)	COMPLETED	0	2025-09-22 14:33:35.724	718ms	17ms	50.0%	0	0	129.1 KB	216 B
46	76/245182	2635818	MAKE_DB_V1:DIAMOND_BLASTP (SAMN04875290)	COMPLETED	0	2025-09-22 14:33:26.647	10.5s	0ms	94.3%	2.8 MB	5.4 MB	77 KB	367 B
51	13/8623e4	2645754	MAKE_DB_V1:FILTER_DIAMOND_HITS (3)	COMPLETED	0	2025-09-22 14:33:37.252	624ms	29ms	34.0%	0	0	131.1 KB	216 B
48	b2/08314c	2637427	QUERY_DB_V1:DIAMOND_BLASTP (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:27.988	12.7s	0ms	75.1%	2.8 MB	5.4 MB	77 KB	369 B
41	50/d1b7f6	2632669	MAKE_DB_V1:MOBSUITE_RECON (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:23.065	17.8s	5s	134.2%	145.5 MB	5.5 GB	36.2 MB	365 B
39	be/8e336e	2632671	MAKE_DB_V1:MASH_SKETCH (SAMN04875299)	COMPLETED	0	2025-09-22 14:33:23.076	17.8s	0ms	222.2%	2.8 MB	5.4 MB	72.5 KB	302 B
52	8f/69895a	2647355	QUERY_DB_V1:FILTER_DIAMOND_HITS (1)	COMPLETED	0	2025-09-22 14:33:40.739	518ms	25ms	71.2%	0	0	131.1 KB	216 B
44	98/eab601	2635525	MAKE_DB_V1:DIAMOND_BLASTP (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:26.488	16.8s	0ms	108.7%	2.8 MB	5.4 MB	77 KB	368 B
54	d7/f7069e	2648175	MAKE_DB_V1:FILTER_DIAMOND_HITS (4)	COMPLETED	0	2025-09-22 14:33:43.412	619ms	22ms	42.1%	0	0	127 KB	216 B
53	70/88f739	2647474	MAKE_DB_V1:MASH_PASTE	COMPLETED	0	2025-09-22 14:33:41.030	17.2s	0ms	100.0%	0	0	59 KB	297 B
59	ad/27beae	2651434	MAKE_DB_V1:INSERT_DB (SAMN04875288)	COMPLETED	0	2025-09-22 14:33:58.344	9.5s	56ms	24.1%	0	0	139.9 KB	216 B
55	f7/307b7d	2651387	QUERY_DB_V1:MASH_DIST (SAMN04875286)	COMPLETED	0	2025-09-22 14:33:58.262	12.8s	0ms	265.6%	2.8 MB	5.4 MB	68.6 KB	300 B
57	41/3d327a	2652870	MAKE_DB_V1:INSERT_DB (SAMN04875290)	COMPLETED	0	2025-09-22 14:34:07.874	13s	42ms	37.0%	0	0	135.9 KB	216 B
58	66/e555ca	2656301	MAKE_DB_V1:INSERT_DB (SAMN04875299)	COMPLETED	0	2025-09-22 14:34:20.888	7.3s	40ms	31.3%	0	0	137.9 KB	216 B
56	25/754621	2657507	MAKE_DB_V1:INSERT_DB (SAMN04875293)	COMPLETED	0	2025-09-22 14:34:28.186	10.2s	36ms	32.5%	0	0	140 KB	216 B
60	df/057696	2659585	QUERY_DB_V1:QUERY_RESISTOME (SAMN04875286)	COMPLETED	0	2025-09-22 14:34:38.631	7.7s	41ms	23.0%	0	0	135.8 KB	216 B
